fighter,dob
AJ Cunningham,"Sep 07, 1994"
AJ Dobson,"Jan 18, 1992"
AJ Fletcher,"Feb 18, 1997"
Aalon Cruz,"Sep 20, 1989"
Aaron Brink,"Nov 12, 1974"
Aaron Phillips,"Aug 05, 1989"
Aaron Pico,"Sep 23, 1996"
Aaron Riley,"Dec 09, 1980"
Aaron Rosa,"May 28, 1983"
Aaron Simpson,"Jul 20, 1974"
Aaron Wilkinson,"Jan 31, 1987"
Abdul Rakhman Yakhyaev,"Mar 01, 2001"
Abdul Razak Alhassan,"Aug 11, 1985"
Abdul-Kareem Al-Selwady,"Apr 10, 1995"
Abdul-Kerim Edilov,"Nov 25, 1991"
Abel Trujillo,"Sep 18, 1983"
Abner Lloveras,"Sep 04, 1982"
Abu Azaitar,"Mar 10, 1986"
Abubakar Nurmagomedov,"Nov 13, 1989"
Abus Magomedov,"Sep 02, 1990"
Adam Cella,"Jun 26, 1985"
Adam Fugitt,"Jan 12, 1989"
Adam Milstead,"Jul 03, 1987"
Adam Wieczorek,"Feb 05, 1992"
Adam Yandiev,"Aug 07, 1988"
Adlan Amagov,"Oct 30, 1986"
Adrian Serrano,"Dec 23, 1963"
Adrian Yanez,"Nov 29, 1993"
Adriano Martins,"Dec 16, 1982"
Adriano Santos,--
Aiemann Zahabi,"Nov 19, 1987"
Ailin Perez,"Oct 05, 1994"
Aisling Daly,"Dec 24, 1987"
Akbarh Arreola,"Jan 14, 1983"
Akihiro Gono,"Oct 07, 1974"
Akira Corassani,"Aug 27, 1982"
Al Iaquinta,"Apr 30, 1987"
Alan Baudot,"Feb 01, 1988"
Alan Belcher,"Apr 24, 1984"
Alan Jouban,"Nov 25, 1981"
Alan Omer,"Sep 14, 1988"
Alan Patrick,"Jul 19, 1983"
Alatengheili,"Dec 14, 1991"
Albert Cheng,"Feb 07, 1985"
Albert Duraev,"Jan 05, 1989"
Albert Morales,"May 25, 1991"
Albert Tumenov,"Dec 26, 1991"
Alberta Cerra Leon,--
Alberto Crane,"Jul 14, 1976"
Alberto Mina,"May 02, 1982"
Alberto Montes,"May 31, 1994"
Alberto Uda,"Aug 08, 1984"
Alden Coria,"Apr 24, 1998"
Alejandro Perez,"Sep 02, 1989"
Aleksa Camur,"Sep 25, 1995"
Aleksandar Rakic,"Feb 06, 1992"
Aleksandra Albu,"Jul 14, 1990"
Aleksandre Topuria,"Jan 28, 1996"
Aleksei Kunchenko,"May 02, 1984"
Aleksei Oleinik,"Jun 20, 1977"
Alen Amedovski,"Apr 06, 1988"
Alessandro Costa,"Jan 28, 1996"
Alessio Di Chirico,"Dec 12, 1989"
Alessio Sakara,"Sep 02, 1981"
Alex Andrade,"May 14, 1974"
Alex Caceres,"Jun 20, 1988"
Alex Chambers,"Oct 25, 1978"
Alex Da Silva,"Feb 04, 1996"
Alex Garcia,"Jul 14, 1987"
Alex Gorgees,"Aug 11, 1995"
Alex Hunter,--
Alex Karalexis,"Sep 20, 1977"
Alex Morono,"Aug 16, 1990"
Alex Nicholson,"May 02, 1990"
Alex Oliveira,"Feb 21, 1988"
Alex Pereira,"Jul 07, 1987"
Alex Perez,"Mar 21, 1992"
Alex Reyes,"Oct 02, 1986"
Alex Ricci,"Jul 21, 1982"
Alex Schoenauer,"May 05, 1976"
Alex Soto,"Feb 15, 1984"
Alex Stiebling,"Dec 26, 1976"
Alex Torres,"May 29, 1988"
Alex White,"Oct 22, 1988"
Alexa Grasso,"Aug 09, 1993"
Alexander Gustafsson,"Jan 15, 1987"
Alexander Hernandez,"Oct 01, 1992"
Alexander Munoz,"Feb 27, 1990"
Alexander Volkanovski,"Sep 29, 1988"
Alexander Volkov,"Oct 24, 1988"
Alexander Yakovlev,"Jul 18, 1984"
Alexandr Romanov,"Dec 11, 1990"
Alexandre Barros,"Nov 19, 1976"
Alexandre Dantas,"Mar 01, 1979"
Alexandre Ferreira,"Apr 25, 1979"
Alexandre Pantoja,"Apr 16, 1990"
Alexia Thainara,"Nov 20, 1995"
Alexis Davis,"Oct 04, 1984"
Alexis Dufresne,"Aug 31, 1990"
Alfonso Alcarez,"Jun 10, 1970"
Ali AlQaisi,"Sep 23, 1990"
Ali Bagautinov,"Jun 10, 1985"
Aliaskhab Khizriev,"Aug 24, 1990"
Alibi Idiris,"Oct 22, 1994"
Alice Ardelean,"Apr 19, 1992"
